Reference, Value, Footprint, Datasheet
"R11","4k7","",""
"R8","120R","",""
"R10","680R","",""
"P1","ICSP","",""
"R7","470R","",""
"R6","10K","",""
"C7","100nF","",""
"SW2","reset","",""
"C8","100nF","",""
"C11","100nF","",""
"C12","47µF","",""
"X1","8Mhz","",""
"C6","18pF","",""
"C4","18pF","",""
"C13","100nF","",""
"R15","10k","",""
"U4","25LC1024","",""
"SW1","Power","",""
"R17","10k","",""
"R13","10K","",""
"R5","150R","",""
"D2","LED","",""
"CON2","BARREL_JACK 2,1mm","",""
"C1","47µF","",""
"C3","100nF","",""
"U1","LD1117v33","",""
"J2","RCA_JACK","",""
"J1","RCA_JACK","",""
"R12","1K","",""
"C14","100nF","",""
"U5","23LC1024","",""
"R16","10k","",""
"R9","4k7","",""
"C9","10nF","",""
"C10","22nF","",""
"D3","1N6263","",""
"U3","PIC24EP512GP202","",""
"Q2","2N3904","",""
"R2","47K","",""
"D1","1N6263","",""
"C2","33µF","",""
"Q1","2N3906","",""
"R4","10k","",""
"R1","3K3","",""
"R3","47K","",""
"U2","LM7805CT","TO-220",""
"C5","220nF","",""
"CON1","SD_Card","10067847-001",""
"F1","500mA","",""
"D4","1N4148","",""
"J3","RJ12","",""
"R14","10K","",""
"R23","10K","",""
"R24","10K","",""
"R25","10K","",""
"D7","1N4148","",""
"D6","1N4148","",""
"R18","10K","",""
"P2","keyboard","",""
"C15","100nF","",""
"C16","100nF","",""
"U6","PIC12F1572","",""
"D5","LED","",""
"R20","470","",""
"P3","ICSP","",""
"R19","470","",""
"R21","10k","",""
"R22","10k","",""
"C17","10µF/50v","",""
"D8","1N4148","",""
"R26","470","",""
